customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
ID_0011,Male,1,Yes,No,39,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Mailed check,37.29,932.64,Yes
ID_0012,Male,1,Yes,Yes,26,Yes,No phone service,Fiber optic,No,No,Yes,No,No internet service,No,One year,Yes,Mailed check,79.95,7463.54,No
ID_0013,Male,0,Yes,Yes,2,Yes,No,Fiber optic,No,No,Yes,No internet service,No,No,Month-to-month,Yes,Mailed check,52.07,1341.77,No
ID_0014,Female,0,No,Yes,23,Yes,No,DSL,Yes,No,No internet service,Yes,No,No,One year,Yes,Bank transfer (automatic),92.02,858.48,No
ID_0015,Male,1,Yes,Yes,23,Yes,Yes,Fiber optic,Yes,No internet service,No,No,No internet service,Yes,Two year,Yes,Electronic check,74.25,1871.84,No
ID_0016,Female,0,No,Yes,16,Yes,Yes,No,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,73.95,40.37,No
ID_0017,Female,0,Yes,Yes,9,Yes,Yes,DSL,Yes,Yes,No,No,No,No,One year,Yes,Credit card (automatic),87.14,642.45,No
ID_0018,Female,1,Yes,Yes,13,Yes,No,Fiber optic,No,No,Yes,No internet service,Yes,Yes,Two year,No,Bank transfer (automatic),51.72,5523.42,Yes
ID_0019,Male,0,No,No,28,Yes,No,Fiber optic,No,No internet service,Yes,Yes,Yes,No,One year,Yes,Electronic check,61.39,2129.38,No
ID_0020,Female,0,Yes,Yes,27,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,76.83,2952.35,Yes
ID_0021,Male,0,Yes,Yes,51,Yes,Yes,DSL,Yes,No internet service,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,60.62,7257.51,No
ID_0022,Female,1,No,No,64,Yes,Yes,Fiber optic,Yes,No,No internet service,No,No internet service,No,Month-to-month,No,Credit card (automatic),62.9,6716.75,Yes
ID_0023,Female,1,Yes,No,52,Yes,Yes,Fiber optic,No internet service,No,No internet service,No,No,No internet service,Month-to-month,No,Electronic check,45.63,4284.62,No
ID_0024,Female,1,Yes,No,38,Yes,No phone service,No,No,No,No,No internet service,No internet service,No,One year,No,Credit card (automatic),47.13,5330.86,No
ID_0025,Female,0,Yes,Yes,65,Yes,No,DSL,No internet service,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),88.5,762.44,No
ID_0026,Female,1,No,Yes,18,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),18.68,6618.78,Yes
ID_0027,Female,1,No,Yes,63,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,27.83,4492.12,Yes
ID_0028,Female,0,No,No,51,Yes,No,DSL,Yes,No,No internet service,No,No,No,Month-to-month,Yes,Credit card (automatic),113.61,4966.64,Yes
ID_0029,Female,0,No,Yes,9,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,One year,No,Electronic check,37.05,5786.26,No
ID_0030,Male,0,Yes,Yes,13,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,Yes,Yes,No,Month-to-month,Yes,Electronic check,60.27,4353.32,Yes
ID_0031,Male,0,Yes,Yes,40,Yes,Yes,DSL,No internet service,No internet service,No,Yes,No internet service,No internet service,One year,No,Electronic check,103.64,4539.79,Yes
ID_0032,Female,0,No,Yes,55,No,Yes,DSL,No internet service,No,No,Yes,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),18.26,4348.64,Yes
ID_0033,Female,0,Yes,Yes,43,Yes,No,No,No internet service,No internet service,Yes,No internet service,No,Yes,Month-to-month,Yes,Electronic check,111.23,4324.22,No
ID_0034,Female,0,Yes,Yes,44,Yes,No,No,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),23.63,6520.08,No
ID_0035,Male,0,Yes,Yes,68,Yes,Yes,DSL,No,Yes,No,No internet service,No internet service,Yes,Month-to-month,Yes,Electronic check,35.42,3720.99,No
ID_0036,Female,0,Yes,Yes,33,Yes,Yes,DSL,No,Yes,No,No internet service,Yes,No,Two year,Yes,Credit card (automatic),21.17,43.87,No
ID_0037,Male,0,No,No,24,Yes,Yes,No,No internet service,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,70.46,5322.94,Yes
ID_0038,Male,0,Yes,No,36,Yes,Yes,Fiber optic,No,Yes,Yes,No internet service,No,No,Two year,Yes,Mailed check,113.03,8274.57,No
ID_0039,Male,0,Yes,No,10,Yes,No phone service,DSL,No internet service,No internet service,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,102.57,2245.61,No
ID_0040,Male,0,Yes,No,20,Yes,Yes,No,No,Yes,Yes,Yes,No,No internet service,One year,Yes,Credit card (automatic),82.54,7091.93,No
ID_0041,Male,0,No,Yes,12,Yes,Yes,DSL,No,No internet service,No,No,Yes,Yes,Month-to-month,No,Electronic check,36.89,3966.08,No
ID_0042,Female,0,Yes,Yes,62,Yes,No phone service,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),105.64,5590.88,No
ID_0043,Female,0,Yes,Yes,18,Yes,No,Fiber optic,No,No internet service,Yes,No,Yes,Yes,Two year,No,Electronic check,94.1,7739.11,Yes
ID_0044,Female,1,No,Yes,63,Yes,No,Fiber optic,No,Yes,No,No,No internet service,No,Two year,No,Credit card (automatic),45.07,6700.4,Yes
ID_0045,Female,0,No,Yes,25,Yes,Yes,DSL,No,No,Yes,No internet service,Yes,Yes,Two year,No,Electronic check,99.16,7684.51,Yes
ID_0046,Female,0,Yes,Yes,12,Yes,No,Fiber optic,No internet service,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,106.4,101.3,Yes
ID_0047,Male,0,Yes,Yes,21,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),88.42,1642.07,No
ID_0048,Female,1,Yes,Yes,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,No,Electronic check,28.34,3688.8,Yes
ID_0049,Female,0,Yes,Yes,11,Yes,Yes,Fiber optic,No internet service,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,117.17,7366.2,Yes
ID_0050,Male,1,Yes,Yes,64,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,Two year,Yes,Electronic check,25.89,7284.3,Yes
ID_0051,Female,0,Yes,No,50,Yes,No,No,No,No internet service,Yes,No internet service,Yes,No,One year,No,Bank transfer (automatic),84.02,1623.23,Yes
ID_0052,Male,1,Yes,Yes,62,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Mailed check,29.36,1251.47,No
ID_0053,Female,0,Yes,Yes,49,Yes,No,No,No,No,No,No,No internet service,Yes,Two year,No,Electronic check,109.24,7252.33,No
ID_0054,Male,1,No,Yes,14,Yes,Yes,Fiber optic,No,Yes,Yes,No internet service,No,No,Two year,Yes,Bank transfer (automatic),53.42,4710.87,No
ID_0055,Female,0,No,Yes,1,Yes,Yes,No,No internet service,No,No,No internet service,Yes,Yes,Two year,Yes,Electronic check,69.66,5450.39,No
ID_0056,Female,0,No,Yes,25,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),36.22,7031.38,No
ID_0057,Male,0,Yes,Yes,59,No,No,Fiber optic,Yes,No internet service,No internet service,Yes,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),73.18,1853.79,No
ID_0058,Male,0,Yes,Yes,72,Yes,No phone service,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),112.6,1201.58,No
ID_0059,Male,0,No,Yes,69,Yes,No,Fiber optic,Yes,No internet service,Yes,No internet service,Yes,No internet service,Month-to-month,No,Electronic check,108.86,7463.28,Yes
ID_0060,Male,1,Yes,No,5,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),24.67,987.43,No
ID_0061,Male,1,Yes,No,19,Yes,No,Fiber optic,No,No,No,No,Yes,No internet service,One year,Yes,Mailed check,56.26,782.98,No
ID_0062,Male,0,No,Yes,23,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,45.13,2419.93,No
ID_0063,Male,0,No,Yes,9,No,Yes,Fiber optic,No internet service,No internet service,No,Yes,No internet service,No internet service,One year,No,Mailed check,66.63,2764.61,Yes
ID_0064,Male,0,No,No,50,Yes,Yes,DSL,No,No,No internet service,No internet service,Yes,No internet service,Two year,Yes,Electronic check,102.04,2108.48,No
ID_0065,Female,0,Yes,Yes,16,No,Yes,Fiber optic,No,No internet service,Yes,No,Yes,Yes,One year,No,Mailed check,92.5,6445.71,Yes
ID_0066,Female,0,Yes,Yes,33,Yes,No,DSL,Yes,Yes,No,No internet service,No,Yes,Month-to-month,Yes,Bank transfer (automatic),52.82,8453.89,No
ID_0067,Male,0,No,Yes,2,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,56.71,1748.46,No
ID_0068,Female,0,Yes,No,14,Yes,No,Fiber optic,No internet service,No,No internet service,No internet service,Yes,No,Month-to-month,No,Electronic check,84.0,6794.33,No
ID_0069,Female,0,No,Yes,1,Yes,Yes,No,Yes,Yes,No,No,Yes,No internet service,Month-to-month,No,Electronic check,37.77,402.2,Yes
ID_0070,Female,0,No,Yes,58,Yes,Yes,No,No,No,Yes,No,Yes,Yes,One year,Yes,Mailed check,28.57,1049.21,No
ID_0071,Female,0,No,No,16,Yes,Yes,No,No,No internet service,No,No internet service,Yes,No internet service,Month-to-month,Yes,Mailed check,42.63,4482.81,Yes
ID_0072,Male,0,Yes,Yes,47,Yes,No,No,Yes,No internet service,No internet service,No,Yes,Yes,One year,Yes,Electronic check,30.72,8681.41,No
ID_0073,Female,0,Yes,Yes,44,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,53.62,8246.0,No
ID_0074,Male,1,No,No,14,Yes,No,No,Yes,No internet service,Yes,Yes,No,No internet service,Month-to-month,No,Bank transfer (automatic),112.48,988.9,No
ID_0075,Female,0,No,Yes,24,Yes,Yes,Fiber optic,No internet service,No,No,No,No internet service,Yes,Two year,No,Electronic check,30.34,2095.93,No
ID_0076,Female,0,No,Yes,55,Yes,Yes,Fiber optic,No,No,No,No internet service,No,Yes,Month-to-month,No,Credit card (automatic),100.49,8215.03,No
ID_0077,Female,0,Yes,Yes,15,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),71.98,1324.97,No
ID_0078,Male,0,Yes,Yes,72,Yes,No,No,No,No,Yes,No internet service,No,No internet service,Two year,Yes,Electronic check,81.86,6455.81,No
ID_0079,Female,1,No,Yes,34,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,35.34,28.4,No
ID_0080,Male,0,No,Yes,2,Yes,No,DSL,No,Yes,No,Yes,No internet service,No internet service,One year,Yes,Bank transfer (automatic),33.46,5493.22,Yes
ID_0081,Female,0,No,Yes,27,Yes,No phone service,Fiber optic,Yes,No,Yes,Yes,No,No,One year,No,Electronic check,34.61,4305.01,Yes
ID_0082,Male,0,Yes,No,72,Yes,No phone service,DSL,Yes,No internet service,No,No,No,Yes,One year,Yes,Credit card (automatic),85.29,4100.71,No
ID_0083,Female,1,No,Yes,23,No,No,No,No internet service,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,93.4,7204.58,No
ID_0084,Male,1,No,Yes,68,Yes,No,Fiber optic,Yes,No internet service,Yes,No internet service,No,Yes,Two year,No,Electronic check,110.73,718.44,No
ID_0085,Male,0,No,Yes,14,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,No,Yes,No,Month-to-month,No,Electronic check,58.27,3288.76,No
ID_0086,Female,0,Yes,No,63,Yes,No,No,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,64.68,3884.17,No
ID_0087,Male,0,Yes,Yes,65,No,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,65.44,1092.75,No
ID_0088,Female,1,No,Yes,68,Yes,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,45.37,761.19,No
ID_0089,Female,0,Yes,Yes,63,Yes,Yes,DSL,No,No internet service,Yes,No,No,Yes,Month-to-month,No,Electronic check,51.24,1575.34,No
ID_0090,Female,1,Yes,Yes,64,No,Yes,Fiber optic,No,No internet service,No,Yes,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),103.36,2107.72,No
ID_0091,Female,0,No,Yes,32,No,No,No,Yes,No,No internet service,No,Yes,Yes,Month-to-month,Yes,Electronic check,52.79,8390.68,No
ID_0092,Female,0,Yes,No,13,No,Yes,No,Yes,No,No,No internet service,Yes,Yes,Month-to-month,No,Credit card (automatic),105.59,4140.47,No
ID_0093,Female,0,No,Yes,66,Yes,Yes,No,No internet service,No,Yes,Yes,No internet service,Yes,Two year,Yes,Electronic check,48.93,4440.96,No
ID_0094,Female,0,Yes,Yes,19,Yes,No,DSL,No,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,52.41,6145.65,No
ID_0095,Female,0,No,Yes,24,Yes,No,DSL,Yes,Yes,Yes,No internet service,No,Yes,Two year,Yes,Electronic check,74.56,5948.66,No
ID_0096,Female,0,No,No,11,Yes,No,DSL,No internet service,No,Yes,Yes,Yes,No internet service,Two year,Yes,Bank transfer (automatic),28.61,4375.87,Yes
ID_0097,Female,0,Yes,Yes,59,Yes,Yes,Fiber optic,Yes,No internet service,Yes,No internet service,No,No,Month-to-month,No,Mailed check,110.92,2963.84,No
ID_0098,Female,0,Yes,Yes,15,Yes,No,DSL,Yes,No internet service,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,100.7,2887.69,Yes
ID_0099,Male,0,Yes,Yes,10,Yes,Yes,DSL,Yes,No,No,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,85.64,518.92,No
ID_0100,Male,0,Yes,Yes,41,Yes,Yes,Fiber optic,No,No internet service,Yes,Yes,No,No,Two year,No,Credit card (automatic),117.56,7814.99,No
ID_0101,Female,1,No,Yes,27,Yes,No,Fiber optic,Yes,No internet service,No internet service,Yes,Yes,Yes,One year,Yes,Credit card (automatic),19.86,6686.37,Yes
ID_0102,Female,1,No,Yes,60,Yes,No,Fiber optic,No,No,No,Yes,No internet service,Yes,Two year,Yes,Mailed check,59.56,5420.69,No
ID_0103,Female,1,Yes,Yes,52,Yes,Yes,Fiber optic,No internet service,No,No,Yes,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),104.51,3451.24,No
ID_0104,Female,1,Yes,Yes,28,Yes,No,Fiber optic,Yes,No,No,No,No internet service,No,Two year,Yes,Mailed check,61.77,5066.45,No
ID_0105,Female,0,Yes,Yes,65,Yes,Yes,Fiber optic,No,No,No,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,18.78,4222.59,Yes
ID_0106,Female,0,No,Yes,17,Yes,Yes,No,No,No,No,No,Yes,No,Two year,No,Credit card (automatic),34.1,2392.72,No
ID_0107,Female,0,Yes,Yes,44,No,Yes,Fiber optic,No,No,No,No internet service,Yes,Yes,Month-to-month,No,Bank transfer (automatic),61.87,2606.23,No
ID_0108,Female,0,No,No,10,Yes,No phone service,DSL,No internet service,No internet service,No internet service,No internet service,No,No,One year,No,Mailed check,85.38,7597.04,Yes
ID_0109,Male,0,No,No,63,Yes,No,DSL,No,Yes,No,No,No internet service,No,One year,No,Credit card (automatic),34.6,5520.91,No
ID_0110,Female,0,No,No,47,Yes,No,DSL,Yes,No,No,No internet service,No internet service,Yes,One year,No,Bank transfer (automatic),63.28,31.13,No
ID_0111,Male,0,Yes,No,38,Yes,No,No,No,No,No internet service,Yes,No,Yes,Month-to-month,No,Electronic check,19.54,2851.47,Yes
ID_0112,Female,0,No,Yes,70,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,One year,No,Electronic check,66.24,2964.77,No
ID_0113,Female,0,Yes,No,53,Yes,Yes,No,No,No internet service,Yes,No,Yes,No,Month-to-month,No,Mailed check,108.29,6139.9,No
ID_0114,Male,0,Yes,Yes,44,Yes,Yes,DSL,Yes,Yes,Yes,No internet service,No,No,One year,No,Electronic check,78.23,6088.93,Yes
ID_0115,Female,0,No,Yes,54,Yes,Yes,No,No,No,No internet service,No internet service,No,No,One year,Yes,Bank transfer (automatic),62.54,4041.17,Yes
ID_0116,Male,0,No,Yes,20,Yes,No,No,No,No internet service,Yes,No,No,No,Month-to-month,Yes,Electronic check,34.56,8259.99,No
ID_0117,Female,1,Yes,Yes,31,Yes,No phone service,Fiber optic,Yes,Yes,No internet service,No,No,Yes,Two year,Yes,Electronic check,38.59,7577.54,No
ID_0118,Female,0,Yes,No,7,Yes,Yes,Fiber optic,No,No internet service,Yes,No,No,No internet service,Month-to-month,No,Credit card (automatic),25.94,7525.38,No
ID_0119,Male,0,Yes,Yes,58,Yes,Yes,DSL,Yes,No,No,Yes,No internet service,Yes,Month-to-month,No,Credit card (automatic),92.86,3036.87,No
ID_0120,Female,1,Yes,Yes,10,Yes,Yes,Fiber optic,No internet service,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),26.0,3753.84,No
ID_0121,Male,1,Yes,No,10,Yes,No,DSL,No,No internet service,Yes,No,Yes,No internet service,Two year,Yes,Bank transfer (automatic),56.84,3649.52,Yes
ID_0122,Female,1,Yes,Yes,39,Yes,Yes,Fiber optic,No internet service,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),93.61,3834.15,No
ID_0123,Male,0,Yes,Yes,28,Yes,Yes,Fiber optic,No,No,No,Yes,No internet service,No,Two year,Yes,Bank transfer (automatic),89.89,7724.7,No
ID_0124,Male,0,No,No,30,Yes,No,DSL,No internet service,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,76.29,2177.68,No
ID_0125,Female,0,No,Yes,37,Yes,No,No,Yes,Yes,No,No,Yes,No internet service,Two year,No,Mailed check,75.67,6970.62,Yes
ID_0126,Female,0,No,Yes,67,No,Yes,Fiber optic,No,No internet service,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),27.33,4473.47,No
ID_0127,Male,0,Yes,Yes,43,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Mailed check,35.83,2177.36,No
ID_0128,Female,0,No,Yes,52,Yes,No,No,No,Yes,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,71.99,4588.33,Yes
ID_0129,Female,0,No,No,56,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),53.23,1712.5,No
ID_0130,Female,0,No,Yes,68,Yes,No phone service,Fiber optic,No,No internet service,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,20.15,956.28,No
ID_0131,Male,0,No,Yes,9,Yes,No,Fiber optic,No,No internet service,No,No,No,Yes,Two year,No,Electronic check,98.47,7282.45,Yes
ID_0132,Male,0,No,Yes,23,Yes,Yes,No,Yes,No,No,No,Yes,No internet service,One year,Yes,Electronic check,83.96,6079.12,No
ID_0133,Male,0,No,Yes,63,Yes,Yes,DSL,Yes,No internet service,No,Yes,Yes,No internet service,Two year,Yes,Electronic check,50.99,1795.15,No
ID_0134,Male,0,Yes,No,61,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),28.12,8184.73,Yes
ID_0135,Male,0,No,Yes,40,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),77.67,230.24,No
ID_0136,Male,1,No,Yes,44,Yes,No phone service,DSL,Yes,No internet service,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),53.28,2907.01,Yes
ID_0137,Male,0,No,Yes,24,Yes,No,DSL,Yes,Yes,Yes,No,No internet service,No,Month-to-month,No,Mailed check,43.92,206.45,No
ID_0138,Male,0,No,Yes,51,Yes,Yes,DSL,Yes,Yes,No internet service,No,Yes,Yes,Two year,Yes,Mailed check,90.76,1251.95,Yes
ID_0139,Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,No,No internet service,Yes,No,Month-to-month,No,Bank transfer (automatic),51.23,1579.37,Yes
ID_0140,Female,0,Yes,Yes,33,Yes,Yes,No,No,Yes,Yes,No internet service,No,Yes,Month-to-month,Yes,Mailed check,31.92,7041.16,No
ID_0141,Male,0,No,Yes,16,Yes,Yes,No,No internet service,Yes,No,No,No internet service,No,Month-to-month,No,Mailed check,66.66,8624.48,No
ID_0142,Female,0,No,Yes,22,Yes,No,Fiber optic,No,No,No,No,No,No internet service,One year,Yes,Bank transfer (automatic),101.51,7535.0,No
ID_0143,Female,0,No,No,57,Yes,Yes,DSL,No internet service,No,Yes,No internet service,No,No,Month-to-month,No,Credit card (automatic),103.64,5522.86,Yes
ID_0144,Female,0,Yes,Yes,62,Yes,No phone service,DSL,No,No,No,No internet service,No,No internet service,Two year,Yes,Credit card (automatic),103.61,6283.65,No
ID_0145,Male,1,Yes,No,71,Yes,Yes,Fiber optic,No internet service,No,No internet service,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,60.55,4549.57,No
ID_0146,Male,0,No,Yes,72,Yes,No,Fiber optic,No internet service,Yes,No,Yes,No,No,One year,Yes,Electronic check,97.74,3680.56,Yes
ID_0147,Male,0,No,No,70,Yes,No,DSL,No,No,No internet service,Yes,Yes,No,One year,No,Bank transfer (automatic),103.7,6017.14,No
ID_0148,Male,1,No,Yes,30,Yes,Yes,Fiber optic,No,No,No internet service,No internet service,No internet service,Yes,Month-to-month,Yes,Electronic check,64.43,8451.83,No
ID_0149,Female,1,Yes,Yes,23,Yes,Yes,No,Yes,Yes,No internet service,No internet service,Yes,No internet service,One year,No,Electronic check,50.28,269.2,No
ID_0150,Male,0,No,Yes,32,No,Yes,Fiber optic,Yes,No internet service,Yes,No,No internet service,No,Month-to-month,No,Electronic check,88.8,2740.66,Yes
ID_0151,Male,0,Yes,Yes,57,Yes,Yes,No,No internet service,No,No,No internet service,Yes,No internet service,One year,Yes,Mailed check,109.15,2879.1,No
ID_0152,Male,0,No,No,9,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,No,No internet service,No,One year,Yes,Mailed check,115.95,3608.7,Yes
ID_0153,Male,0,Yes,No,31,Yes,No phone service,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,47.42,5451.45,No
ID_0154,Male,0,Yes,Yes,71,Yes,No phone service,DSL,No internet service,No,No internet service,No,Yes,No internet service,Two year,Yes,Credit card (automatic),114.35,4470.98,No
ID_0155,Female,0,No,Yes,9,Yes,No,No,No internet service,No,Yes,No,Yes,Yes,One year,Yes,Mailed check,68.43,181.11,No
ID_0156,Male,0,No,Yes,13,Yes,Yes,Fiber optic,No,No internet service,No,No,No internet service,No internet service,Two year,No,Electronic check,49.01,3585.81,Yes
ID_0157,Female,1,Yes,No,58,No,No,Fiber optic,No,No,No,No internet service,Yes,Yes,Month-to-month,No,Bank transfer (automatic),117.58,5386.94,Yes
ID_0158,Male,1,No,Yes,3,Yes,No phone service,DSL,No,No internet service,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,106.47,4393.61,No
ID_0159,Female,0,Yes,Yes,35,Yes,Yes,Fiber optic,No,No,Yes,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),87.84,7576.09,No
ID_0160,Male,0,Yes,Yes,21,Yes,Yes,DSL,Yes,No internet service,No,No internet service,No internet service,No internet service,Two year,No,Electronic check,108.19,3473.03,No
ID_0161,Male,0,Yes,Yes,64,Yes,No,DSL,No,No internet service,Yes,Yes,Yes,No internet service,Two year,Yes,Credit card (automatic),86.74,127.63,Yes
ID_0162,Female,0,Yes,Yes,52,Yes,Yes,DSL,No,No,No,Yes,Yes,No internet service,Month-to-month,Yes,Mailed check,62.51,2487.73,No
ID_0163,Female,0,Yes,Yes,34,Yes,Yes,Fiber optic,No,No,No,No,No internet service,Yes,Month-to-month,No,Credit card (automatic),113.53,1194.54,No
ID_0164,Female,0,Yes,Yes,35,Yes,No phone service,DSL,No internet service,Yes,No,Yes,No internet service,Yes,One year,No,Bank transfer (automatic),115.06,2187.3,No
ID_0165,Male,0,Yes,No,15,Yes,No phone service,DSL,No,No internet service,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),49.82,3156.65,No
ID_0166,Female,0,No,Yes,6,Yes,Yes,Fiber optic,Yes,No,No,Yes,No internet service,No,Two year,No,Bank transfer (automatic),53.87,5882.7,Yes
ID_0167,Male,0,Yes,Yes,32,Yes,Yes,Fiber optic,No internet service,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),56.71,2828.06,Yes
ID_0168,Male,0,No,Yes,52,Yes,No,Fiber optic,No,Yes,No internet service,Yes,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),100.88,7680.49,No
ID_0169,Female,0,Yes,No,28,Yes,No,Fiber optic,Yes,No,No,Yes,No internet service,No,Month-to-month,Yes,Credit card (automatic),97.76,2614.86,Yes
ID_0170,Female,0,No,Yes,64,Yes,Yes,No,No,No,No internet service,Yes,No,No,Month-to-month,Yes,Credit card (automatic),117.05,1205.46,No
ID_0171,Male,1,Yes,Yes,19,Yes,No,DSL,No,No,No,No internet service,Yes,No internet service,Two year,No,Electronic check,65.0,1482.19,No
ID_0172,Male,0,Yes,Yes,15,Yes,No,DSL,No internet service,No,No,No,Yes,No internet service,Month-to-month,No,Electronic check,92.3,8117.87,No
